행정구역별(읍면동),연령별,2010
소공동,75~79세,10
소공동,80~84세,3
소공동,85세 이상,6
회현동,0~4세,93
회현동,5~9세,78
회현동,10~14세,115
회현동,15~19세,171
회현동,20~24세,234
회현동,25~29세,298
회현동,30~34세,259
회현동,35~39세,263
회현동,40~44세,310
회현동,45~49세,415
회현동,50~54세,525
회현동,55~59세,379
회현동,60~64세,317
회현동,65~69세,251
회현동,70~74세,191
회현동,75~79세,103
회현동,80~84세,77
회현동,85세 이상,48
명동,0~4세,47
명동,5~9세,38
명동,10~14세,67
명동,15~19세,105
명동,20~24세,185
명동,25~29세,224
명동,30~34세,192
명동,35~39세,177
명동,40~44세,175
명동,45~49세,152
명동,50~54세,183
명동,55~59세,159
명동,60~64세,138
명동,65~69세,118
명동,70~74세,74
명동,75~79세,50
명동,80~84세,29
명동,85세 이상,27
필동,0~4세,107
필동,5~9세,122
필동,10~14세,152
필동,15~19세,208
필동,20~24세,378
필동,25~29세,452
필동,30~34세,282
필동,35~39세,264
필동,40~44세,242
필동,45~49세,230
필동,50~54세,325
필동,55~59세,248
필동,60~64세,199
필동,65~69세,172
필동,70~74세,145
필동,75~79세,113
필동,80~84세,67
필동,85세 이상,37
장충동,0~4세,153
장충동,5~9세,147
장충동,10~14세,162
장충동,15~19세,363
장충동,20~24세,1008
장충동,25~29세,870
장충동,30~34세,433
장충동,35~39세,357
장충동,40~44세,303
장충동,45~49세,279
장충동,50~54세,247
장충동,55~59세,221
장충동,60~64세,195
장충동,65~69세,205
장충동,70~74세,165
장충동,75~79세,81
장충동,80~84세,57
장충동,85세 이상,35
광희동,0~4세,120
광희동,5~9세,116
광희동,10~14세,128
광희동,15~19세,230
광희동,20~24세,389
광희동,25~29세,473
광희동,30~34세,403
광희동,35~39세,359
광희동,40~44세,308
광희동,45~49세,356
광희동,50~54세,441
광희동,55~59세,309
광희동,60~64세,250
광희동,65~69세,231
광희동,70~74세,162
광희동,75~79세,105
광희동,80~84세,77
광희동,85세 이상,39
을지로동,0~4세,31
을지로동,5~9세,20
을지로동,10~14세,36
을지로동,15~19세,41
을지로동,20~24세,154
을지로동,25~29세,176
을지로동,30~34세,116
을지로동,35~39세,99
을지로동,40~44세,103
을지로동,45~49세,95
을지로동,50~54세,121
을지로동,55~59세,98
을지로동,60~64세,80
을지로동,65~69세,78
을지로동,70~74세,52
을지로동,75~79세,38
을지로동,80~84세,25
을지로동,85세 이상,19
신당1동,0~4세,160
신당1동,5~9세,236
신당1동,10~14세,349
신당1동,15~19세,534
신당1동,20~24세,511
신당1동,25~29세,593
신당1동,30~34세,547
신당1동,35~39세,560
신당1동,40~44세,642
신당1동,45~49세,626
신당1동,50~54세,556
신당1동,55~59세,429
신당1동,60~64세,381
신당1동,65~69세,342
신당1동,70~74세,253
신당1동,75~79세,132
신당1동,80~84세,75
신당1동,85세 이상,59
신당2동,0~4세,514
신당2동,5~9세,541
신당2동,10~14세,788
신당2동,15~19세,918
신당2동,20~24세,1033
신당2동,25~29세,1596
신당2동,30~34세,1406
신당2동,35~39세,1356
신당2동,40~44세,1237
신당2동,45~49세,1175
신당2동,50~54세,1182
신당2동,55~59세,942
신당2동,60~64세,759
신당2동,65~69세,728
신당2동,70~74세,509
신당2동,75~79세,312
신당2동,80~84세,153
신당2동,85세 이상,80
신당3동,0~4세,952
신당3동,5~9세,706
신당3동,10~14세,730
신당3동,15~19세,868
신당3동,20~24세,1095
신당3동,25~29세,1635
신당3동,30~34세,1705
신당3동,35~39세,1798
신당3동,40~44세,1441
신당3동,45~49세,1427
신당3동,50~54세,1619
신당3동,55~59세,1303
신당3동,60~64세,1039
신당3동,65~69세,906
신당3동,70~74세,691
신당3동,75~79세,431
신당3동,80~84세,245
신당3동,85세 이상,164
신당4동,0~4세,630
신당4동,5~9세,694
신당4동,10~14세,814
신당4동,15~19세,967
신당4동,20~24세,1001
신당4동,25~29세,1277
신당4동,30~34세,1356
신당4동,35~39세,1443
신당4동,40~44세,1322
신당4동,45~49세,1251
신당4동,50~54세,1142
신당4동,55~59세,870
신당4동,60~64세,703
신당4동,65~69세,669
신당4동,70~74세,568
신당4동,75~79세,359
신당4동,80~84세,199
신당4동,85세 이상,120
신당5동,0~4세,213
신당5동,5~9세,264
신당5동,10~14세,398
신당5동,15~19세,434
신당5동,20~24세,448
신당5동,25~29세,576
신당5동,30~34세,577
신당5동,35~39세,581
신당5동,40~44세,631
신당5동,45~49세,690
신당5동,50~54세,566
신당5동,55~59세,430
신당5동,60~64세,403
신당5동,65~69세,344
신당5동,70~74세,278
신당5동,75~79세,179
신당5동,80~84세,89
신당5동,85세 이상,49
신당6동,0~4세,335
신당6동,5~9세,453
신당6동,10~14세,512
신당6동,15~19세,594
신당6동,20~24세,545
신당6동,25~29세,666
신당6동,30~34세,654
신당6동,35~39세,825
신당6동,40~44세,810
신당6동,45~49세,736
신당6동,50~54세,776
신당6동,55~59세,527
신당6동,60~64세,441
신당6동,65~69세,381
신당6동,70~74세,317
신당6동,75~79세,203
신당6동,80~84세,93
신당6동,85세 이상,61
황학동,0~4세,525
황학동,5~9세,331
황학동,10~14세,423
황학동,15~19세,531
황학동,20~24세,733
황학동,25~29세,1140
황학동,30~34세,1350
황학동,35~39세,1067
황학동,40~44세,866
황학동,45~49세,840
황학동,50~54세,893
황학동,55~59세,775
