행정구역별(읍면동),연령별,2010
상암동,30~34세,2299
상암동,35~39세,2977
상암동,40~44세,2566
상암동,45~49세,1861
상암동,50~54세,1824
상암동,55~59세,1290
상암동,60~64세,992
상암동,65~69세,847
상암동,70~74세,613
상암동,75~79세,420
상암동,80~84세,240
상암동,85세 이상,160
도화동,0~4세,1033
도화동,5~9세,1037
도화동,10~14세,1153
도화동,15~19세,1076
도화동,20~24세,1220
도화동,25~29세,1839
도화동,30~34세,2013
도화동,35~39세,2200
도화동,40~44세,1804
도화동,45~49세,1677
도화동,50~54세,1736
도화동,55~59세,1308
도화동,60~64세,1103
도화동,65~69세,922
도화동,70~74세,774
도화동,75~79세,528
도화동,80~84세,272
도화동,85세 이상,144
서강동,0~4세,1093
서강동,5~9세,1144
서강동,10~14세,1144
서강동,15~19세,1575
서강동,20~24세,2691
서강동,25~29세,3033
서강동,30~34세,2573
서강동,35~39세,2633
서강동,40~44세,2057
서강동,45~49세,1821
서강동,50~54세,1716
서강동,55~59세,1258
서강동,60~64세,960
서강동,65~69세,855
서강동,70~74세,651
서강동,75~79세,418
서강동,80~84세,192
서강동,85세 이상,115
공덕동,0~4세,1330
공덕동,5~9세,1348
공덕동,10~14세,1701
공덕동,15~19세,1943
공덕동,20~24세,2079
공덕동,25~29세,2938
공덕동,30~34세,3058
공덕동,35~39세,3163
공덕동,40~44세,2865
공덕동,45~49세,2651
공덕동,50~54세,2384
공덕동,55~59세,1863
공덕동,60~64세,1574
공덕동,65~69세,1380
공덕동,70~74세,1213
공덕동,75~79세,739
공덕동,80~84세,311
공덕동,85세 이상,193
아현동,0~4세,707
아현동,5~9세,551
아현동,10~14세,644
아현동,15~19세,910
아현동,20~24세,1102
아현동,25~29세,1600
아현동,30~34세,1610
아현동,35~39세,1558
아현동,40~44세,1232
아현동,45~49세,1209
아현동,50~54세,1348
아현동,55~59세,941
아현동,60~64세,769
아현동,65~69세,660
아현동,70~74세,581
아현동,75~79세,337
아현동,80~84세,167
아현동,85세 이상,95
양천구,0~4세,17871
양천구,5~9세,22969
양천구,10~14세,35855
양천구,15~19세,38395
양천구,20~24세,29806
양천구,25~29세,34484
양천구,30~34세,33269
양천구,35~39세,38140
양천구,40~44세,45079
양천구,45~49세,46411
양천구,50~54세,40196
양천구,55~59세,27884
양천구,60~64세,19566
양천구,65~69세,13699
양천구,70~74세,9983
양천구,75~79세,6634
양천구,80~84세,3806
양천구,85세 이상,2409
목1동,0~4세,1152
목1동,5~9세,2000
목1동,10~14세,2981
목1동,15~19세,2836
목1동,20~24세,2038
목1동,25~29세,1791
목1동,30~34세,1659
목1동,35~39세,2476
목1동,40~44세,3685
목1동,45~49세,3547
목1동,50~54세,2717
목1동,55~59세,1627
목1동,60~64세,1029
목1동,65~69세,641
목1동,70~74세,501
목1동,75~79세,319
목1동,80~84세,163
목1동,85세 이상,122
목2동,0~4세,1156
목2동,5~9세,1231
목2동,10~14세,1931
목2동,15~19세,2384
목2동,20~24세,2118
목2동,25~29세,2543
목2동,30~34세,2391
목2동,35~39세,2428
목2동,40~44세,2489
목2동,45~49세,2858
목2동,50~54세,2640
목2동,55~59세,1844
목2동,60~64세,1199
목2동,65~69세,846
목2동,70~74세,657
목2동,75~79세,391
목2동,80~84세,241
목2동,85세 이상,158
목3동,0~4세,983
목3동,5~9세,765
목3동,10~14세,1115
목3동,15~19세,1690
목3동,20~24세,1660
목3동,25~29세,1994
목3동,30~34세,1954
목3동,35~39세,1803
목3동,40~44세,1650
목3동,45~49세,1922
목3동,50~54세,1967
목3동,55~59세,1382
목3동,60~64세,1006
목3동,65~69세,700
목3동,70~74세,472
목3동,75~79세,307
목3동,80~84세,179
목3동,85세 이상,116
목4동,0~4세,841
목4동,5~9세,1330
목4동,10~14세,2641
목4동,15~19세,2771
목4동,20~24세,1698
목4동,25~29세,1693
목4동,30~34세,1614
목4동,35~39세,2175
목4동,40~44세,2957
목4동,45~49세,2922
목4동,50~54세,2014
목4동,55~59세,1296
목4동,60~64세,998
목4동,65~69세,704
목4동,70~74세,459
목4동,75~79세,355
목4동,80~84세,210
목4동,85세 이상,119
신월1동,0~4세,915
신월1동,5~9세,963
신월1동,10~14세,1297
신월1동,15~19세,1557
신월1동,20~24세,1528
신월1동,25~29세,1902
신월1동,30~34세,2037
신월1동,35~39세,2006
신월1동,40~44세,1906
신월1동,45~49세,2141
신월1동,50~54세,2068
신월1동,55~59세,1546
신월1동,60~64세,1249
신월1동,65~69세,858
신월1동,70~74세,522
신월1동,75~79세,323
신월1동,80~84세,212
신월1동,85세 이상,151
신월2동,0~4세,916
신월2동,5~9세,930
신월2동,10~14세,1121
신월2동,15~19세,1235
신월2동,20~24세,1195
신월2동,25~29세,1717
신월2동,30~34세,1807
신월2동,35~39세,1656
신월2동,40~44세,1468
신월2동,45~49세,1533
신월2동,50~54세,1723
신월2동,55~59세,1451
신월2동,60~64세,1104
신월2동,65~69세,698
신월2동,70~74세,508
신월2동,75~79세,322
신월2동,80~84세,155
신월2동,85세 이상,102
신월3동,0~4세,704
신월3동,5~9세,733
신월3동,10~14세,998
신월3동,15~19세,1211
신월3동,20~24세,1077
신월3동,25~29세,1494
신월3동,30~34세,1490
신월3동,35~39세,1480
신월3동,40~44세,1551
신월3동,45~49세,1510
신월3동,50~54세,1526
신월3동,55~59세,1114
신월3동,60~64세,857
신월3동,65~69세,666
신월3동,70~74세,485
신월3동,75~79세,275
신월3동,80~84세,127
신월3동,85세 이상,107
신월4동,0~4세,997
신월4동,5~9세,890
신월4동,10~14세,1076
신월4동,15~19세,1092
신월4동,20~24세,1014
신월4동,25~29세,1518
신월4동,30~34세,1669
신월4동,35~39세,1637
신월4동,40~44세,1400
신월4동,45~49세,1352
신월4동,50~54세,1574
신월4동,55~59세,1263
신월4동,60~64세,984
신월4동,65~69세,658
신월4동,70~74세,402
신월4동,75~79세,316
신월4동,80~84세,140
신월4동,85세 이상,83
신월5동,0~4세,628
신월5동,5~9세,666
신월5동,10~14세,935
신월5동,15~19세,1136
신월5동,20~24세,1016
신월5동,25~29세,1223
신월5동,30~34세,1245
신월5동,35~39세,1245
신월5동,40~44세,1282
신월5동,45~49세,1318
신월5동,50~54세,1311
신월5동,55~59세,932
신월5동,60~64세,726
신월5동,65~69세,541
신월5동,70~74세,334
신월5동,75~79세,213
신월5동,80~84세,114
신월5동,85세 이상,69
신월6동,0~4세,476
신월6동,5~9세,570
신월6동,10~14세,839
신월6동,15~19세,1048
신월6동,20~24세,937
신월6동,25~29세,1046
신월6동,30~34세,961
신월6동,35~39세,1041
신월6동,40~44세,1087
신월6동,45~49세,1190
신월6동,50~54세,1235
신월6동,55~59세,934
신월6동,60~64세,672
신월6동,65~69세,475
신월6동,70~74세,336
신월6동,75~79세,217
신월6동,80~84세,92
신월6동,85세 이상,81
신월7동,0~4세,1257
신월7동,5~9세,1202
신월7동,10~14세,1518
신월7동,15~19세,1647
신월7동,20~24세,1438
신월7동,25~29세,2025
신월7동,30~34세,2234
신월7동,35~39세,2139
신월7동,40~44세,2070
신월7동,45~49세,2065
신월7동,50~54세,2079
신월7동,55~59세,1584
신월7동,60~64세,1126
신월7동,65~69세,905
신월7동,70~74세,741
신월7동,75~79세,469
신월7동,80~84세,235
신월7동,85세 이상,144
신정1동,0~4세,610
신정1동,5~9세,1255
신정1동,10~14세,2342
신정1동,15~19세,2063
신정1동,20~24세,1386
신정1동,25~29세,1374
신정1동,30~34세,1061
신정1동,35~39세,1674
신정1동,40~44세,2648
신정1동,45~49세,2523
신정1동,50~54세,1807
신정1동,55~59세,1243
신정1동,60~64세,836
신정1동,65~69세,591
신정1동,70~74세,427
신정1동,75~79세,333
신정1동,80~84세,216
신정1동,85세 이상,133
신정2동,0~4세,523
신정2동,5~9세,989
신정2동,10~14세,2085
신정2동,15~19세,2367
신정2동,20~24세,1540
신정2동,25~29세,1252
신정2동,30~34세,867
신정2동,35~39세,1417
신정2동,40~44세,2338
신정2동,45~49세,2698
신정2동,50~54세,2002
신정2동,55~59세,1196
신정2동,60~64세,759
신정2동,65~69세,566
신정2동,70~74세,437
신정2동,75~79세,266
신정2동,80~84세,152
신정2동,85세 이상,104
신정3동,0~4세,2387
신정3동,5~9세,2611
신정3동,10~14세,3067
신정3동,15~19세,3054
신정3동,20~24세,2720
신정3동,25~29세,3399
신정3동,30~34세,4008
신정3동,35~39세,4791
신정3동,40~44세,4412
신정3동,45~49세,3952
신정3동,50~54세,3582
신정3동,55~59세,2573
신정3동,60~64세,1832
신정3동,65~69세,1372
신정3동,70~74세,983
신정3동,75~79세,627
신정3동,80~84세,357
신정3동,85세 이상,191
신정6동,0~4세,796
신정6동,5~9세,1451
신정6동,10~14세,2819
신정6동,15~19세,2674
신정6동,20~24세,1548
신정6동,25~29세,1432
신정6동,30~34세,1181
신정6동,35~39세,1858
신정6동,40~44세,3166
신정6동,45~49세,3220
신정6동,50~54세,2167
신정6동,55~59세,1387
신정6동,60~64세,749
신정6동,65~69세,455
신정6동,70~74세,404
신정6동,75~79세,289
신정6동,80~84세,206
신정6동,85세 이상,142
신정7동,0~4세,1117
신정7동,5~9세,1544
신정7동,10~14세,2547
신정7동,15~19세,2887
신정7동,20~24세,2120
신정7동,25~29세,1931
신정7동,30~34세,1788
신정7동,35~39세,2492
신정7동,40~44세,3249
신정7동,45~49세,3444
신정7동,50~54세,2954
신정7동,55~59세,1844
신정7동,60~64세,1285
신정7동,65~69세,931
신정7동,70~74세,864
신정7동,75~79세,552
신정7동,80~84세,361
신정7동,85세 이상,203
목5동,0~4세,955
목5동,5~9세,2528
목5동,10~14세,4943
목5동,15~19세,4537
목5동,20~24세,2592
목5동,25~29세,2400
목5동,30~34세,1553
목5동,35~39세,2727
목5동,40~44세,5294
목5동,45~49세,5626
목5동,50~54세,3978
목5동,55~59세,2296
목5동,60~64세,1278
목5동,65~69세,721
목5동,70~74세,635
목5동,75~79세,579
목5동,80~84세,411
목5동,85세 이상,216
신정4동,0~4세,1458
신정4동,5~9세,1311
신정4동,10~14세,1600
신정4동,15~19세,2206
신정4동,20~24세,2181
신정4동,25~29세,3750
신정4동,30~34세,3750
신정4동,35~39세,3095
신정4동,40~44세,2427
신정4동,45~49세,2590
신정4동,50~54세,2852
신정4동,55~59세,2372
신정4동,60~64세,1877
신정4동,65~69세,1371
신정4동,70~74세,816
신정4동,75~79세,481
신정4동,80~84세,235
신정4동,85세 이상,168
강서구,0~4세,25276
강서구,5~9세,24960
강서구,10~14세,30486
강서구,15~19세,35741
강서구,20~24세,35713
강서구,25~29세,48682
강서구,30~34세,50916
강서구,35~39세,49570
강서구,40~44세,43475
강서구,45~49세,44576
강서구,50~54세,46252
강서구,55~59세,34617
강서구,60~64세,25833
강서구,65~69세,17806
강서구,70~74세,12860
강서구,75~79세,8457
강서구,80~84세,5082
강서구,85세 이상,3257
염창동,0~4세,2289
염창동,5~9세,2676
염창동,10~14세,3135
염창동,15~19세,2824
염창동,20~24세,2289
염창동,25~29세,2497
염창동,30~34세,3204
염창동,35~39세,4422
염창동,40~44세,4155
염창동,45~49세,3621
염창동,50~54세,3157
염창동,55~59세,2185
염창동,60~64세,1449
염창동,65~69세,882
염창동,70~74세,758
염창동,75~79세,419
염창동,80~84세,222
염창동,85세 이상,139
등촌1동,0~4세,948
등촌1동,5~9세,895
등촌1동,10~14세,1139
등촌1동,15~19세,1343
등촌1동,20~24세,1411
등촌1동,25~29세,1976
등촌1동,30~34세,2234
등촌1동,35~39세,2107
등촌1동,40~44세,1686
등촌1동,45~49세,1659
등촌1동,50~54세,1655
등촌1동,55~59세,1022
등촌1동,60~64세,783
등촌1동,65~69세,591
등촌1동,70~74세,447
등촌1동,75~79세,375
등촌1동,80~84세,255
등촌1동,85세 이상,203
등촌2동,0~4세,798
등촌2동,5~9세,931
등촌2동,10~14세,1318
등촌2동,15~19세,1742
등촌2동,20~24세,1566
등촌2동,25~29세,1842
등촌2동,30~34세,1633
등촌2동,35~39세,1668
등촌2동,40~44세,1758
등촌2동,45~49세,2010
등촌2동,50~54세,2036
등촌2동,55~59세,1542
등촌2동,60~64세,1101
등촌2동,65~69세,623
등촌2동,70~74세,407
등촌2동,75~79세,279
등촌2동,80~84세,177
등촌2동,85세 이상,107
등촌3동,0~4세,1211
등촌3동,5~9세,1597
등촌3동,10~14세,2389
등촌3동,15~19세,3104
등촌3동,20~24세,2818
등촌3동,25~29세,2719
등촌3동,30~34세,2519
등촌3동,35~39세,2650
등촌3동,40~44세,2990
등촌3동,45~49세,3503
등촌3동,50~54세,3475
등촌3동,55~59세,2262
등촌3동,60~64세,1482
등촌3동,65~69세,1081
등촌3동,70~74세,1038
등촌3동,75~79세,897
등촌3동,80~84세,594
등촌3동,85세 이상,372
화곡본동,0~4세,1967
화곡본동,5~9세,1731
화곡본동,10~14세,1862
화곡본동,15~19세,1848
화곡본동,20~24세,1907
화곡본동,25~29세,3628
화곡본동,30~34세,4215
화곡본동,35~39세,3659
화곡본동,40~44세,2741
화곡본동,45~49세,2305
화곡본동,50~54세,2404
화곡본동,55~59세,1937
화곡본동,60~64세,1467
화곡본동,65~69세,1077
화곡본동,70~74세,694
화곡본동,75~79세,410
화곡본동,80~84세,225
화곡본동,85세 이상,148
화곡2동,0~4세,1015
화곡2동,5~9세,1055
화곡2동,10~14세,1169
화곡2동,15~19세,1175
화곡2동,20~24세,1225
화곡2동,25~29세,1822
화곡2동,30~34세,2082
화곡2동,35~39세,2069
화곡2동,40~44세,1631
화곡2동,45~49세,1473
화곡2동,50~54세,1422
화곡2동,55~59세,1160
화곡2동,60~64세,990
화곡2동,65~69세,657
화곡2동,70~74세,435
화곡2동,75~79세,241
화곡2동,80~84세,124
화곡2동,85세 이상,80
화곡3동,0~4세,843
화곡3동,5~9세,848
화곡3동,10~14세,1170
화곡3동,15~19세,1662
화곡3동,20~24세,1852
화곡3동,25~29세,2108
화곡3동,30~34세,1838
화곡3동,35~39세,1702
화곡3동,40~44세,1571
화곡3동,45~49세,1917
화곡3동,50~54세,2398
화곡3동,55~59세,1763
화곡3동,60~64세,1314
화곡3동,65~69세,837
화곡3동,70~74세,471
화곡3동,75~79세,351
화곡3동,80~84세,213
화곡3동,85세 이상,185
화곡4동,0~4세,955
화곡4동,5~9세,900
화곡4동,10~14세,1084
화곡4동,15~19세,1370
화곡4동,20~24세,1427
화곡4동,25~29세,2101
화곡4동,30~34세,2156
화곡4동,35~39세,1958
화곡4동,40~44세,1637
화곡4동,45~49세,1661
화곡4동,50~54세,1754
화곡4동,55~59세,1432
화곡4동,60~64세,1099
화곡4동,65~69세,823
화곡4동,70~74세,565
화곡4동,75~79세,336
화곡4동,80~84세,159
화곡4동,85세 이상,102
화곡6동,0~4세,1206
화곡6동,5~9세,1038
화곡6동,10~14세,1252
화곡6동,15~19세,1520
화곡6동,20~24세,1598
화곡6동,25~29세,2308
화곡6동,30~34세,2321
화곡6동,35~39세,2130
화곡6동,40~44세,1753
화곡6동,45~49세,1917
화곡6동,50~54세,2107
화곡6동,55~59세,1625
화곡6동,60~64세,1121
화곡6동,65~69세,757
화곡6동,70~74세,491
화곡6동,75~79세,339
화곡6동,80~84세,188
화곡6동,85세 이상,129
화곡8동,0~4세,1388
화곡8동,5~9세,1134
화곡8동,10~14세,1197
화곡8동,15~19세,1308
화곡8동,20~24세,1615
화곡8동,25~29세,2763
화곡8동,30~34세,3209
화곡8동,35~39세,2613
화곡8동,40~44세,1811
화곡8동,45~49세,1795
화곡8동,50~54세,2006
화곡8동,55~59세,1734
화곡8동,60~64세,1494
화곡8동,65~69세,1037
화곡8동,70~74세,583
화곡8동,75~79세,323
화곡8동,80~84세,190
화곡8동,85세 이상,122
가양1동,0~4세,1042
가양1동,5~9세,991
가양1동,10~14세,1149
가양1동,15~19세,1336
가양1동,20~24세,1364
가양1동,25~29세,1650
가양1동,30~34세,1697
가양1동,35~39세,1840
가양1동,40~44세,1677
가양1동,45~49세,1781
가양1동,50~54세,1915
가양1동,55~59세,1204
가양1동,60~64세,802
가양1동,65~69세,529
가양1동,70~74세,372
가양1동,75~79세,246
가양1동,80~84세,150
가양1동,85세 이상,93
가양2동,0~4세,406
가양2동,5~9세,389
가양2동,10~14세,573
가양2동,15~19세,1136
가양2동,20~24세,1681
가양2동,25~29세,1976
가양2동,30~34세,1546
가양2동,35~39세,1098
가양2동,40~44세,967
가양2동,45~49세,1559
가양2동,50~54세,2004
가양2동,55~59세,1569
가양2동,60~64세,1001
가양2동,65~69세,695
가양2동,70~74세,624
가양2동,75~79세,474
가양2동,80~84세,320
가양2동,85세 이상,205
가양3동,0~4세,867
가양3동,5~9세,713
가양3동,10~14세,779
가양3동,15~19세,1099
가양3동,20~24세,1215
가양3동,25~29세,1620
가양3동,30~34세,1972
가양3동,35~39세,1690
가양3동,40~44세,1316
가양3동,45~49세,1445
가양3동,50~54세,1570
가양3동,55~59세,1308
가양3동,60~64세,928
가양3동,65~69세,748
가양3동,70~74세,626
가양3동,75~79세,394
가양3동,80~84세,296
가양3동,85세 이상,157
발산1동,0~4세,1771
발산1동,5~9세,1954
발산1동,10~14세,2586
발산1동,15~19세,2946
발산1동,20~24세,1846
발산1동,25~29세,1893
발산1동,30~34세,2482
발산1동,35~39세,3137
발산1동,40~44세,3177
발산1동,45~49세,2971
발산1동,50~54세,2281
발산1동,55~59세,1405
발산1동,60~64세,1154
발산1동,65~69세,812
발산1동,70~74세,606
발산1동,75~79세,417
발산1동,80~84세,270
발산1동,85세 이상,165
공항동,0~4세,990
공항동,5~9세,768
공항동,10~14세,777
공항동,15~19세,1022
공항동,20~24세,1285
공항동,25~29세,2291
공항동,30~34세,2183
공항동,35~39세,1798
공항동,40~44세,1435
공항동,45~49세,1473
공항동,50~54세,1581
공항동,55~59세,1219
공항동,60~64세,972
공항동,65~69세,782
공항동,70~74세,529
공항동,75~79세,343
공항동,80~84세,179
공항동,85세 이상,100
방화1동,0~4세,1481
방화1동,5~9세,1556
방화1동,10~14세,1664
방화1동,15~19세,1739
방화1동,20~24세,1713
방화1동,25~29세,2324
방화1동,30~34세,2558
방화1동,35~39세,2837
방화1동,40~44세,2373
방화1동,45~49세,2441
방화1동,50~54세,2572
방화1동,55~59세,1840
방화1동,60~64세,1459
방화1동,65~69세,1008
방화1동,70~74세,756
방화1동,75~79세,469
방화1동,80~84세,282
방화1동,85세 이상,154
방화2동,0~4세,1074
방화2동,5~9세,1033
방화2동,10~14세,1196
방화2동,15~19세,1478
방화2동,20~24세,1648
방화2동,25~29세,2240
방화2동,30~34세,2125
방화2동,35~39세,2068
방화2동,40~44세,1805
방화2동,45~49세,1892
방화2동,50~54세,2184
방화2동,55~59세,1733
방화2동,60~64세,1313
방화2동,65~69세,1012
방화2동,70~74세,801
방화2동,75~79세,563
방화2동,80~84세,306
방화2동,85세 이상,169
방화3동,0~4세,1275
방화3동,5~9세,1098
방화3동,10~14세,1205
방화3동,15~19세,1421
방화3동,20~24세,1791
방화3동,25~29세,2444
방화3동,30~34세,2610
방화3동,35~39세,2427
방화3동,40~44세,2006
방화3동,45~49세,2055
방화3동,50~54세,2305
방화3동,55~59세,1781
방화3동,60~64세,1343
방화3동,65~69세,991
방화3동,70~74세,807
방화3동,75~79세,518
방화3동,80~84세,379
방화3동,85세 이상,224
화곡1동,0~4세,2009
화곡1동,5~9세,1613
화곡1동,10~14세,2226
화곡1동,15~19세,2781
화곡1동,20~24세,3143
화곡1동,25~29세,5543
화곡1동,30~34세,5409
화곡1동,35~39세,4212
화곡1동,40~44세,3408
화곡1동,45~49세,3729
화곡1동,50~54세,4204
화곡1동,55~59세,3496
화곡1동,60~64세,2842
화곡1동,65~69세,1871
화곡1동,70~74세,1177
화곡1동,75~79세,652
화곡1동,80~84세,331
화곡1동,85세 이상,247
우장산동,0~4세,1741
우장산동,5~9세,2040
우장산동,10~14세,2616
우장산동,15~19세,2887
우장산동,20~24세,2319
우장산동,25~29세,2937
우장산동,30~34세,2923
우장산동,35~39세,3485
우장산동,40~44세,3578
우장산동,45~49세,3369
우장산동,50~54세,3222
우장산동,55~59세,2400
우장산동,60~64세,1719
우장산동,65~69세,993
우장산동,70~74세,673
우장산동,75~79세,411
우장산동,80~84세,222
우장산동,85세 이상,156
구로구,0~4세,20325
구로구,5~9세,17841
구로구,10~14세,20939
구로구,15~19세,23482
구로구,20~24세,24641
구로구,25~29세,37006
구로구,30~34세,40606
구로구,35~39세,37904
구로구,40~44세,31382
구로구,45~49세,30586
구로구,50~54세,32265
구로구,55~59세,26280
구로구,60~64세,21157
구로구,65~69세,15183
구로구,70~74세,10498
구로구,75~79세,6028
구로구,80~84세,3143
구로구,85세 이상,1973
신도림동,0~4세,2261
신도림동,5~9세,1879
신도림동,10~14세,2093
신도림동,15~19세,1894
신도림동,20~24세,2036
신도림동,25~29세,3139
신도림동,30~34세,3914
신도림동,35~39세,3679
신도림동,40~44세,2863
신도림동,45~49세,2601
신도림동,50~54세,2803
신도림동,55~59세,2404
신도림동,60~64세,1712
신도림동,65~69세,1060
신도림동,70~74세,660
신도림동,75~79세,407
신도림동,80~84세,255
신도림동,85세 이상,145
구로1동,0~4세,1321
구로1동,5~9세,1089
구로1동,10~14세,1415
구로1동,15~19세,1577
구로1동,20~24세,1489
구로1동,25~29세,2021
구로1동,30~34세,2440
구로1동,35~39세,2220
구로1동,40~44세,1871
구로1동,45~49세,1901
구로1동,50~54세,1982
구로1동,55~59세,1329
구로1동,60~64세,794
구로1동,65~69세,525
구로1동,70~74세,352
구로1동,75~79세,271
구로1동,80~84세,145
구로1동,85세 이상,95
구로3동,0~4세,1533
구로3동,5~9세,1023
구로3동,10~14세,1006
구로3동,15~19세,1003
구로3동,20~24세,1895
구로3동,25~29세,4584
구로3동,30~34세,4389
구로3동,35~39세,3069
구로3동,40~44세,1837
구로3동,45~49세,1457
구로3동,50~54세,1517
구로3동,55~59세,1311
구로3동,60~64세,1160
구로3동,65~69세,804
구로3동,70~74세,580
구로3동,75~79세,319
구로3동,80~84세,110
구로3동,85세 이상,77
구로4동,0~4세,1341
구로4동,5~9세,954
구로4동,10~14세,1156
구로4동,15~19세,1294
구로4동,20~24세,1380
구로4동,25~29세,2375
구로4동,30~34세,2917
구로4동,35~39세,2403
구로4동,40~44세,1868
구로4동,45~49세,1835
구로4동,50~54세,1768
구로4동,55~59세,1549
구로4동,60~64세,1377
구로4동,65~69세,1034
구로4동,70~74세,785
구로4동,75~79세,418
구로4동,80~84세,194
구로4동,85세 이상,130
구로5동,0~4세,1718
구로5동,5~9세,1310
구로5동,10~14세,1392
구로5동,15~19세,1579
구로5동,20~24세,1863
구로5동,25~29세,2913
구로5동,30~34세,3276
구로5동,35~39세,3085
구로5동,40~44세,2391
구로5동,45~49세,2176
구로5동,50~54세,2343
구로5동,55~59세,1843
구로5동,60~64세,1517
구로5동,65~69세,1087
구로5동,70~74세,750
구로5동,75~79세,466
구로5동,80~84세,213
구로5동,85세 이상,122
고척1동,0~4세,1118
고척1동,5~9세,1169
고척1동,10~14세,1488
고척1동,15~19세,1579
고척1동,20~24세,1634
고척1동,25~29세,2088
고척1동,30~34세,1967
고척1동,35~39세,2102
고척1동,40~44세,1982
고척1동,45~49세,2052
고척1동,50~54세,2091
고척1동,55~59세,1790
고척1동,60~64세,1332
고척1동,65~69세,934
고척1동,70~74세,701
고척1동,75~79세,381
고척1동,80~84세,226
고척1동,85세 이상,167
고척2동,0~4세,1481
고척2동,5~9세,1547
고척2동,10~14세,1825
고척2동,15~19세,2018
고척2동,20~24세,1724
고척2동,25~29세,2082
고척2동,30~34세,2530
고척2동,35~39세,2806
고척2동,40~44세,2652
고척2동,45~49세,2426
고척2동,50~54세,2298
고척2동,55~59세,1774
고척2동,60~64세,1508
고척2동,65~69세,1145
고척2동,70~74세,778
고척2동,75~79세,462
고척2동,80~84세,242
고척2동,85세 이상,131
개봉2동,0~4세,1770
개봉2동,5~9세,1578
개봉2동,10~14세,1596
개봉2동,15~19세,1682
개봉2동,20~24세,2080
개봉2동,25~29세,3147
개봉2동,30~34세,3411
개봉2동,35~39세,3069
개봉2동,40~44세,2270
개봉2동,45~49세,2296
개봉2동,50~54세,3002
개봉2동,55~59세,2679
개봉2동,60~64세,2152
개봉2동,65~69세,1361
개봉2동,70~74세,827
개봉2동,75~79세,464
개봉2동,80~84세,276
개봉2동,85세 이상,189
개봉3동,0~4세,1034
개봉3동,5~9세,980
개봉3동,10~14세,1281
개봉3동,15~19세,1354
개봉3동,20~24세,1294
개봉3동,25~29세,1771
개봉3동,30~34세,1967
개봉3동,35~39세,1944
개봉3동,40~44세,1678
개봉3동,45~49세,1635
개봉3동,50~54세,1773
개봉3동,55~59세,1557
개봉3동,60~64세,1204
개봉3동,65~69세,829
개봉3동,70~74세,562
개봉3동,75~79세,338
개봉3동,80~84세,189
개봉3동,85세 이상,116
오류1동,0~4세,923
오류1동,5~9세,812
오류1동,10~14세,975
오류1동,15~19세,1194
오류1동,20~24세,1475
오류1동,25~29세,2115
오류1동,30~34세,2087
오류1동,35~39세,1767
오류1동,40~44세,1431
오류1동,45~49세,1478
오류1동,50~54세,1656
오류1동,55~59세,1398
오류1동,60~64세,1132
오류1동,65~69세,839
오류1동,70~74세,656
오류1동,75~79세,333
오류1동,80~84세,181
오류1동,85세 이상,111
오류2동,0~4세,1493
오류2동,5~9세,1372
오류2동,10~14세,1393
오류2동,15~19세,1647
오류2동,20~24세,1616
오류2동,25~29세,2313
오류2동,30~34세,2552
오류2동,35~39세,2598
오류2동,40~44세,2078
오류2동,45~49세,2038
오류2동,50~54세,2328
오류2동,55~59세,1846
오류2동,60~64세,1490
오류2동,65~69세,1098
오류2동,70~74세,786
오류2동,75~79세,454
오류2동,80~84세,247
오류2동,85세 이상,145
수궁동,0~4세,1324
수궁동,5~9세,1105
수궁동,10~14세,1294
수궁동,15~19세,1746
수궁동,20~24세,1429
수궁동,25~29세,1977
수궁동,30~34세,2298
수궁동,35~39세,2181
수궁동,40~44세,1799
수궁동,45~49세,1820
수궁동,50~54세,1919
수궁동,55~59세,1557
수궁동,60~64세,1258
수궁동,65~69세,898
수궁동,70~74세,641
수궁동,75~79세,387
수궁동,80~84세,192
수궁동,85세 이상,132
가리봉동,0~4세,363
가리봉동,5~9세,370
가리봉동,10~14세,581
가리봉동,15~19세,705
가리봉동,20~24세,688
가리봉동,25~29세,981
가리봉동,30~34세,1005
가리봉동,35~39세,1102
가리봉동,40~44세,1229
가리봉동,45~49세,1330
가리봉동,50~54세,1166
가리봉동,55~59세,843
가리봉동,60~64세,714
가리봉동,65~69세,594
가리봉동,70~74세,427
가리봉동,75~79세,257
가리봉동,80~84세,109
가리봉동,85세 이상,67
구로2동,0~4세,1162
구로2동,5~9세,1170
구로2동,10~14세,1547
구로2동,15~19세,1945
구로2동,20~24세,1899
구로2동,25~29세,2704
구로2동,30~34세,2732
구로2동,35~39세,2863
구로2동,40~44세,2696
구로2동,45~49세,2693
구로2동,50~54세,2629
구로2동,55~59세,2013
구로2동,60~64세,1838
구로2동,65~69세,1524
구로2동,70~74세,1028
구로2동,75~79세,538
구로2동,80~84세,289
구로2동,85세 이상,171
개봉1동,0~4세,1483
개봉1동,5~9세,1483
개봉1동,10~14세,1897
개봉1동,15~19세,2265
개봉1동,20~24세,2139
개봉1동,25~29세,2796
개봉1동,30~34세,3121
개봉1동,35~39세,3016
개봉1동,40~44세,2737
개봉1동,45~49세,2848
개봉1동,50~54세,2990
개봉1동,55~59세,2387
개봉1동,60~64세,1969
개봉1동,65~69세,1451
개봉1동,70~74세,965
개봉1동,75~79세,533
개봉1동,80~84세,275
개봉1동,85세 이상,175
금천구,0~4세,8880
금천구,5~9세,9357
금천구,10~14세,12707
금천구,15~19세,15220
금천구,20~24세,14875
