Admin,Age,Noedu,Primary,Middle,High,College,University,Master,Phd
Gwangjin,30~34,0.000772499,0.001396441,0.006893068,0.21077339,0.223935585,0.454704816,0.087203256,0.014320944
Gwangjin,35~39,0.001435656,0.003425998,0.018924563,0.345079614,0.171234665,0.358033151,0.083365962,0.018500392
Gwangjin,40~44,0.002338428,0.01026875,0.044836818,0.440946216,0.125495645,0.297387061,0.059680754,0.019046328
Gwangjin,45~49,0.003513728,0.035895139,0.101898102,0.460470564,0.087774295,0.247924489,0.045747356,0.016776327
Gwangjin,50~54,0.005586791,0.07497687,0.154864422,0.466621593,0.066258629,0.178955235,0.03828909,0.01444737
Gwangjin,55~59,0.008677973,0.128880294,0.205543985,0.421253595,0.045968462,0.148170187,0.030943172,0.010562333
Gwangjin,60~64,0.019210867,0.200129366,0.222056921,0.365653299,0.036804657,0.126390686,0.022315653,0.007438551
Gwangjin,65~69,0.051251791,0.264857119,0.209643429,0.293939138,0.031189412,0.122903144,0.019809492,0.006406474
Gwangjin,70~74,0.096600234,0.322274326,0.176905041,0.227901524,0.033177022,0.119109027,0.016764361,0.007268464
Gwangjin,75~79,0.19017785,0.368027486,0.127930477,0.171988682,0.028698464,0.095594179,0.011317704,0.006265158
Gwangjin,80~84,0.279461279,0.384960718,0.114104003,0.115226337,0.022072578,0.066217733,0.013468013,0.004489338
Gwangjin,85ov,0.435119048,0.330952381,0.098214286,0.064285714,0.014285714,0.048214286,0.003571429,0.005357143
Dongdaemoon,6~9,0.19628817,0.80371183,0,0,0,0,0,0
Dongdaemoon,10~14,0,0.526556723,0.470567522,0.002875756,0,0,0,0
Dongdaemoon,15~19,0.000334241,0.000907224,0.132788999,0.612089958,0.086329561,0.167550017,0,0
Dongdaemoon,20~24,0.000428908,0.000393166,0.00407463,0.123811566,0.25498606,0.597934091,0.017835442,0.000536136
Dongdaemoon,25~29,0.000777791,0.000897451,0.005743688,0.174195285,0.226785928,0.503290655,0.078467153,0.009842049
Dongdaemoon,30~34,0.001015584,0.001786027,0.009420417,0.250779198,0.218385572,0.421817545,0.080441254,0.016354404
Dongdaemoon,35~39,0.001591751,0.00401398,0.023599433,0.374961071,0.181044327,0.330495865,0.065677013,0.018616561
Dongdaemoon,40~44,0.002701058,0.01365746,0.05523853,0.482309975,0.126226889,0.261584113,0.043407137,0.014874838
Dongdaemoon,45~49,0.00448978,0.048206057,0.121893584,0.50439132,0.089480525,0.192194085,0.029380489,0.009964161
Dongdaemoon,50~54,0.00683902,0.096610552,0.196452728,0.48835112,0.056440703,0.123139937,0.022997144,0.009168796
Dongdaemoon,55~59,0.013425625,0.162594072,0.245888693,0.416658924,0.037396637,0.097974542,0.018489269,0.007572238
