code,gu,subdis,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80-84,age85ov
1104057,Seongdong,Hengdang2,76,67,65,87,115,137,110,95,74,93,67,53,45,34,20,11,7
1104058,Seongdong,Eungbong,54,47,40,56,74,96,82,65,44,55,46,39,36,24,15,8,4
1104059,Seongdong,Gumho1-ga,42,44,45,59,68,72,67,59,34,62,47,38,29,26,15,8,5
1104062,Seongdong,Gumho4-ga,30,37,40,62,75,79,60,52,32,53,40,34,29,23,13,7,4
1104065,Seongdong,Sungsoo1-ga1,53,59,53,68,78,88,82,78,44,64,47,34,27,21,13,6,3
1104066,Seongdong,Sungsoo1-ga2,37,46,67,105,100,88,65,66,33,73,50,41,32,21,12,5,4
1104067,Seongdong,Sungsoo2-ga1,50,62,63,83,84,88,85,88,37,82,60,45,36,25,15,7,5
1104068,Seongdong,Sungsoo2-ga3,24,28,43,75,57,52,40,45,20,51,39,30,22,17,11,7,4
1104069,Seongdong,Songjeong,29,37,38,57,54,56,55,56,24,51,37,30,21,15,9,5,3
1104070,Seongdong,Yongdap,44,51,48,71,65,75,72,69,30,66,48,41,35,28,15,6,3
1104071,Seongdong,Wangshipnidoseon,28,37,46,57,48,47,49,48,20,49,37,32,31,23,16,10,8
1104072,Seongdong,Gumho2.3-ga,56,60,60,89,93,99,85,79,43,78,62,54,49,37,23,11,6
1104073,Seongdong,Oksu,50,59,70,98,104,111,88,85,48,92,75,58,52,39,26,14,8
1105053,Gwangjin,Hwayang,31,98,279,264,133,84,68,58,23,57,45,39,32,24,13,8,4
1105054,Gwangjin,Gunja,45,65,110,152,106,86,75,79,31,78,59,46,39,29,15,7,5
1105055,Gwangjin,Junggok1,38,45,58,95,85,69,62,64,24,64,46,39,30,21,10,5,4
1105056,Gwangjin,Junggok2,62,76,79,111,100,90,90,90,43,84,63,49,38,25,15,7,5
1105057,Gwangjin,Junggok3,56,66,62,86,81,76,85,80,33,73,51,43,33,23,13,7,4
1105058,Gwangjin,Junggok4,91,124,97,128,129,121,131,135,56,124,92,75,59,36,22,12,7
1105059,Gwangjin,Neungdong,18,26,45,84,68,44,36,33,16,37,30,25,19,14,7,5,3
1105060,Gwangjin,Gui1,51,64,88,159,133,100,83,83,33,79,57,47,37,28,14,8,4
1105061,Gwangjin,Gui2,73,81,73,115,109,111,105,97,57,98,81,65,48,35,19,10,7
1105062,Gwangjin,Gui3,80,93,104,144,135,124,115,121,61,125,87,63,43,33,20,11,7
1105063,Gwangjin,Gwangjang,171,145,100,99,97,158,200,174,113,127,74,45,39,35,22,14,8
1105064,Gwangjin,Jayang1,57,71,90,144,125,96,89,92,38,89,63,51,42,31,18,11,6
1105065,Gwangjin,Jayang2,79,91,94,136,134,126,113,111,61,116,85,60,46,29,19,9,7
1105066,Gwangjin,Jayang3,93,101,110,135,128,139,128,133,76,142,95,59,40,28,19,11,7
1105067,Gwangjin,Jayang4,53,72,109,157,120,108,95,104,37,112,81,67,50,36,21,10,5
1106071,Dongdaemoon,Hoegyi,22,38,83,88,49,38,32,30,16,28,25,21,20,16,9,5,3
1106072,Dongdaemoon,Hwigeyong1,36,46,78,113,74,68,64,58,25,59,49,41,36,26,15,8,4
1106073,Dongdaemoon,Hwigeyong2,67,80,114,124,96,98,92,90,54,87,71,59,46,33,21,10,7
1106080,Dongdaemoon,Cheongnyangni,49,60,78,95,83,84,80,84,40,105,87,73,70,53,34,18,10
1106081,Dongdaemoon,Yongshin,57,80,104,144,126,119,106,102,41,115,90,79,71,54,32,15,9
1106082,Dongdaemoon,Jegi,55,69,114,144,105,98,87,89,44,100,80,72,65,50,33,18,10
1106083,Dongdaemoon,Jeonnong1,65,83,91,101,92,100,95,97,48,97,81,70,63,49,31,13,7
1106084,Dongdaemoon,Jeonnong2,59,69,68,70,60,80,81,81,44,74,60,46,44,33,18,10,4
1106086,Dongdaemoon,Dapshipri2,92,97,91,113,126,141,141,122,72,124,98,78,67,51,29,13,9
1106087,Dongdaemoon,Jangan1,83,92,107,161,162,156,130,134,70,152,121,96,68,46,27,16,9
1106088,Dongdaemoon,Jangan2,84,90,97,122,140,149,125,117,73,125,105,78,59,38,23,11,9
1106089,Dongdaemoon,Imoon1,67,117,237,221,135,115,105,105,46,105,83,69,63,50,27,14,9
1106090,Dongdaemoon,Imoon2,66,68,78,93,96,111,100,86,58,88,70,56,45,35,18,9,5
1106091,Dongdaemoon,Dapshipri1,53,58,60,81,86,88,78,74,37,71,57,50,45,33,19,9,5
1107052,Jungnang,Myeonmok2,84,89,87,116,115,118,123,124,57,110,80,64,51,36,23,12,7
1107054,Jungnang,Myeonmok4,62,65,81,107,101,104,90,84,46,89,70,64,50,29,16,9,6
1107055,Jungnang,Myeonmok5,37,45,49,58,57,59,58,58,27,56,43,35,29,21,12,6,4
1107057,Jungnang,Myeonmok7,62,75,88,114,108,105,99,105,48,105,82,66,51,33,21,10,6
1107059,Jungnang,Sangbong1,92,100,86,90,83,95,116,122,61,113,70,52,39,35,18,10,6
1107060,Jungnang,Sangbong2,33,46,60,96,88,72,62,70,25,77,61,51,41,26,14,9,5
1107061,Jungnang,Junghwa1,59,73,72,90,93,90,80,91,43,90,72,54,37,28,15,9,5
1107062,Jungnang,Junghwa2,67,91,99,140,120,116,124,138,47,137,101,81,64,48,25,13,9
1107064,Jungnang,Mook1,95,111,107,138,134,137,133,137,69,143,114,86,66,46,27,15,9
1107065,Jungnang,Mook2,51,58,63,85,81,83,77,75,39,82,69,54,44,29,15,8,5
1107068,Jungnang,Mangwoo,57,70,67,73,65,73,84,89,37,79,57,47,38,25,15,9,5
1107069,Jungnang,Shinnae1,89,116,104,120,116,124,126,140,71,140,102,69,53,42,25,16,12
1107070,Jungnang,Shinnae2,81,85,75,97,107,112,113,109,63,104,78,52,41,32,23,13,8
1107071,Jungnang,Myeonmokbon,95,106,115,173,157,147,146,143,67,144,117,90,74,49,26,14,8
1107072,Jungnang,Myeonmok3.8,74,91,99,138,118,114,117,118,51,124,93,77,61,43,24,12,9
1107073,Jungnang,Mangwoobon,81,110,107,135,124,122,125,146,56,147,109,81,64,48,30,16,13
1108058,Seongbuk,Donam1,45,48,54,64,58,63,69,67,35,68,52,41,34,27,15,9,5
1108059,Seongbuk,Donam2,82,70,65,71,80,120,115,99,75,90,64,50,41,31,21,11,6
1108060,Seongbuk,Anam,37,86,170,143,68,62,55,49,23,48,38,31,29,24,15,6,4
1108061,Seongbuk,Bomun,36,43,54,76,63,64,62,59,27,54,44,37,32,24,15,9,4
1108062,Seongbuk,Jungneung1,53,59,64,72,89,103,81,72,51,72,58,48,40,29,20,11,8
1108063,Seongbuk,Jungneung2,65,67,69,88,99,112,90,85,57,92,75,61,50,38,24,11,7
1108064,Seongbuk,Jungneung3,42,65,105,87,64,59,59,58,31,61,52,44,39,31,20,10,7
1108065,Seongbuk,Jungneung4,68,79,75,94,115,142,111,97,73,99,78,67,58,42,23,12,9
1108066,Seongbuk,Gireum1,95,82,81,120,167,211,152,111,117,116,85,68,54,38,20,12,7
1108068,Seongbuk,Gireum2,43,51,62,82,82,82,70,71,40,76,61,54,42,32,19,8,5
1108071,Seongbuk,Wolgok1,68,74,79,108,124,144,108,101,74,111,90,69,57,42,22,13,8
1108072,Seongbuk,Wolgok2,50,62,90,93,91,96,81,72,44,79,62,52,47,34,22,12,6
1108076,Seongbuk,Jangwi1,72,86,81,98,101,105,105,104,51,102,80,64,53,41,20,11,7
1108077,Seongbuk,Jangwi2,59,72,69,91,92,90,86,87,43,90,73,61,50,39,20,10,6
1108078,Seongbuk,Jangwi3,49,57,57,70,67,83,74,75,44,75,61,51,44,32,17,7,6
1108081,Seongbuk,Seongbuk,41,50,53,78,69,70,67,64,31,64,51,45,39,35,22,12,8
1108082,Seongbuk,Samsun,67,79,98,121,102,119,105,92,55,89,65,61,55,41,23,13,8
1108083,Seongbuk,Dongsun,32,53,101,97,65,61,49,45,24,45,36,31,32,23,14,8,4
1108084,Seongbuk,Jongam,113,122,162,172,157,186,169,149,95,148,105,87,72,59,37,16,11
1108085,Seongbuk,Seokgwan,88,111,126,166,151,153,133,147,68,150,125,101,82,58,33,16,9
1109060,Gangbuk,Beon1,52,57,66,103,93,93,79,76,37,73,61,57,48,34,16,10,5
1109061,Gangbuk,Beon2,52,64,59,82,85,84,74,76,39,79,64,61,53,36,19,9,5
1109062,Gangbuk,Beon3,57,62,57,73,90,100,76,72,45,78,69,79,72,40,19,11,7
1109063,Gangbuk,Suyu1,58,79,76,89,87,88,86,92,42,92,71,61,52,39,25,10,7
1109064,Gangbuk,Suyu2,58,74,71,88,85,90,85,88,42,96,81,68,56,47,26,15,8
1109065,Gangbuk,Suyu3,46,60,83,116,105,95,85,83,36,96,77,67,63,42,26,11,5
1109069,Gangbuk,Samyang,83,89,78,119,131,138,122,119,70,119,93,80,66,49,29,14,8
1109070,Gangbuk,Mia,58,81,114,110,93,87,91,98,34,99,75,66,57,43,23,10,7
1109071,Gangbuk,Songjung,87,101,97,154,141,136,128,135,57,143,120,95,85,60,34,15,11
1109072,Gangbuk,Songchun,73,95,85,131,120,127,119,125,51,125,99,87,76,59,32,15,10
1109073,Gangbuk,Samgaksan,111,82,64,92,125,179,154,109,104,97,71,54,45,35,19,9,6
1109074,Gangbuk,Ui,53,62,58,71,69,80,81,77,40,85,68,65,56,42,22,13,8
1109075,Gangbuk,Insoo,90,98,85,123,117,118,126,127,58,134,111,101,80,62,33,18,13
1110051,Dobong,Ssangmun1,64,82,98,79,72,83,83,88,43,93,68,59,50,39,20,12,6
1110052,Dobong,Ssangmun2,58,73,68,85,75,82,86,88,41,90,68,49,41,31,22,11,6
1110053,Dobong,Ssangmun3,41,51,62,86,79,77,66,67,36,73,58,50,43,30,16,8,6
1110054,Dobong,Ssangmun4,78,89,80,77,55,78,95,106,47,109,69,39,30,27,17,11,7
1110055,Dobong,Banghak1,86,110,110,123,107,115,128,141,64,150,108,80,60,41,27,13,8
1110056,Dobong,Banghak2,76,86,74,86,76,92,100,102,50,97,72,57,49,34,22,11,7
1110057,Dobong,Banghak3,116,124,114,100,85,122,142,158,81,155,98,56,44,38,29,17,9
1110059,Dobong,Chang1,94,88,83,109,115,128,126,114,63,117,81,60,52,43,27,13,7
1110060,Dobong,Chang2,91,103,103,128,128,139,129,127,66,124,90,71,58,43,23,12,8
1110061,Dobong,Chang3,51,52,51,60,60,68,68,64,34,62,47,44,34,25,14,7,4
1110062,Dobong,Chang4,110,113,98,105,102,138,145,142,78,134,81,55,43,36,27,16,9
1110063,Dobong,Chang5,79,94,99,114,102,112,114,120,61,129,90,60,46,36,24,12,8
1110064,Dobong,Dobong1,55,69,71,94,81,81,85,92,36,98,87,79,70,48,27,15,9
1110065,Dobong,Dobong2,69,80,92,123,119,124,108,109,66,146,117,92,71,58,32,16,10
1111051,Nowon,Wolgye1,53,71,108,106,103,102,83,84,48,90,76,67,51,36,19,12,7
1111052,Nowon,Wolgye2,85,98,93,112,133,134,118,118,69,131,110,84,62,46,33,20,14
1111053,Nowon,Wolgye3,89,87,102,150,182,186,143,123,98,138,112,83,68,54,30,18,11
1111056,Nowon,Gongneung2,159,198,209,171,166,203,204,190,127,180,123,83,61,46,31,17,11
1111058,Nowon,Hagye1,116,184,164,105,80,89,134,172,52,143,83,57,40,41,30,18,13
1111059,Nowon,Hagye2,111,121,86,71,74,105,134,136,68,108,62,43,35,30,21,11,8
1111060,Nowon,Junggyebon,161,167,81,58,43,96,170,185,77,122,55,39,31,29,21,12,7
1111061,Nowon,Junggye1,196,191,89,49,35,101,210,206,87,117,50,29,27,25,18,10,6
1111064,Nowon,Junggye4,80,93,74,72,72,93,99,105,53,93,65,57,44,33,20,10,7
1111065,Nowon,Sanggye1,141,157,146,164,155,168,184,193,96,201,138,94,79,57,37,20,14
1111066,Nowon,Sanggye2,70,95,88,88,71,80,95,104,40,105,74,51,37,28,19,9,6
1111069,Nowon,Sanggye5,75,92,81,92,91,95,103,105,47,100,73,56,48,36,22,13,7
1111072,Nowon,Sanggye8,105,78,56,102,160,155,136,92,90,80,56,44,30,25,20,10,7
1111073,Nowon,Sanggye9,94,93,72,84,95,118,123,109,69,101,67,42,30,27,22,13,8
1111074,Nowon,Sanggye10,67,71,66,90,95,96,92,89,50,86,55,31,25,22,19,10,5
1111076,Nowon,Sanggye3.4,107,115,110,138,138,162,159,151,88,159,129,110,98,75,41,20,13
1111077,Nowon,Sanggye6.7,125,128,109,132,160,188,175,154,100,134,91,61,45,40,32,21,11
1111078,Nowon,Junggye2.3,146,155,124,138,170,198,180,170,100,157,116,98,85,69,47,27,17
1111079,Nowon,Gongneung1,93,116,163,194,177,160,141,144,82,173,132,93,69,48,31,17,13
1112051,Eunpyeong,Nokbun,85,86,97,151,155,153,137,122,69,135,109,96,79,61,36,17,12
1112052,Eunpyeong,Bulgwang1,98,107,100,138,151,168,149,141,78,138,103,90,78,62,36,18,10
1112055,Eunpyeong,Galhyun1,72,87,82,103,95,101,99,102,47,105,77,68,53,39,19,10,6
1112056,Eunpyeong,Galhyun2,87,106,86,98,103,108,116,112,54,110,76,68,53,39,23,12,8
1112057,Eunpyeong,Gusan,98,114,88,107,112,131,139,143,68,136,109,90,67,52,31,17,12
1112058,Eunpyeong,Daejo,82,92,85,125,132,133,115,112,58,114,89,79,68,50,29,15,8
1112059,Eunpyeong,Eungam1,100,84,82,128,144,140,125,113,84,108,84,78,65,47,25,15,9
1112060,Eunpyeong,Eungam2,56,60,53,72,70,78,80,80,39,74,59,54,43,36,21,12,7
1112065,Eunpyeong,Shinsa1,72,85,80,111,115,118,105,102,56,109,80,68,53,37,21,11,6
1112066,Eunpyeong,Shinsa2,72,79,70,84,85,91,98,95,51,94,73,54,40,31,19,9,6
1112067,Eunpyeong,Jeungsan,57,62,61,83,88,98,87,84,50,80,66,54,47,31,20,9,6
1112068,Eunpyeong,Susaek,49,54,60,75,77,87,78,78,40,84,67,53,47,36,22,11,7
1112071,Eunpyeong,Jingwan,113,100,94,113,156,201,162,131,119,135,105,77,61,50,30,19,15
1112072,Eunpyeong,Bulgwang2,82,95,96,118,113,119,118,119,52,120,94,82,69,49,29,14,9
1112073,Eunpyeong,Eungam3,71,82,79,103,102,106,103,101,53,102,79,70,64,49,26,14,7
1112074,Eunpyeong,Yeokchon,128,149,125,178,198,201,179,170,98,172,134,109,90,64,36,21,11
1113052,Seodaemoon,Cheonyeon,50,80,65,74,88,95,80,79,44,73,52,45,40,36,21,12,6
1113062,Seodaemoon,Hongjae1,72,77,76,107,115,124,109,100,58,104,79,71,59,52,30,16,9
1113064,Seodaemoon,Hongjae3,55,59,63,77,73,83,84,76,40,81,61,53,49,44,25,12,8
1113065,Seodaemoon,Hongjae2,42,50,52,59,61,67,65,71,33,64,45,40,34,27,15,9,5
1113066,Seodaemoon,Hongeun1,78,84,79,83,84,111,108,107,59,108,81,67,62,50,33,17,11
1113068,Seodaemoon,Hongeun2,83,94,102,115,109,119,119,114,57,113,84,71,59,53,27,15,10
1113069,Seodaemoon,Namgaja1,7,8,12,10,13,15,13,12,7,12,12,9,10,7,3,2,2
1113070,Seodaemoon,Namgaja2,86,114,123,117,108,132,131,119,68,115,89,80,68,50,31,17,8
1113071,Seodaemoon,Bukgaja1,27,30,30,38,41,44,42,37,23,40,33,29,24,19,11,5,4
1113072,Seodaemoon,Bukgaja2,98,112,96,131,140,150,141,131,76,135,104,89,75,59,31,17,10
1113073,Seodaemoon,Chunghyun,52,97,93,121,105,94,88,90,37,85,63,53,49,41,25,13,11
1113074,Seodaemoon,Bukahyun,36,49,59,77,64,63,62,58,27,51,42,31,28,26,15,8,5
1113075,Seodaemoon,Shinchon,27,52,198,167,84,55,47,40,17,40,34,33,25,24,13,8,5
1113076,Seodaemoon,Yeonhee,102,145,247,243,159,160,155,139,75,136,102,92,91,71,44,23,13
1114059,Mapo,Yonggang,50,51,49,87,109,118,87,75,52,69,52,44,39,29,18,9,6
1114060,Mapo,Daeheung,21,53,139,134,71,54,43,45,17,45,33,28,27,21,15,8,4
1114061,Mapo,Yeomni,43,46,63,94,82,80,67,64,33,63,49,41,36,30,16,8,4
1114063,Mapo,Sinsoo,52,60,79,113,106,112,86,76,50,80,60,51,42,33,21,10,6
1114066,Mapo,Seogyo,46,73,168,238,181,131,88,75,34,76,63,54,49,39,24,14,8
1114068,Mapo,Hapjeong,42,49,64,116,111,89,70,63,30,64,57,45,38,27,17,7,4
1114069,Mapo,Mangwon1,60,64,66,117,123,116,90,83,48,83,61,57,46,34,20,10,5
1114070,Mapo,Mangwon2,59,63,53,83,103,109,89,73,51,73,54,50,40,30,16,8,5
1114071,Mapo,Yeonnam,37,46,66,105,100,89,69,62,29,65,50,45,38,30,21,10,7
1114072,Mapo,Seongsan1,52,56,60,94,97,96,83,74,41,73,57,48,43,30,16,9,6
1114073,Mapo,Seongsan2,136,118,103,136,186,217,189,148,112,134,99,94,79,54,35,20,16
1114074,Mapo,Sangam,87,71,58,86,115,149,128,93,91,91,65,50,42,31,21,12,8
1114075,Mapo,Dohwa,58,54,61,92,101,110,90,84,52,87,65,55,46,39,26,14,7
1114076,Mapo,Seogang,57,79,135,152,129,132,103,91,57,86,63,48,43,33,21,10,6
1114077,Mapo,Gongdeok,85,97,104,147,153,158,143,133,67,119,93,79,69,61,37,16,10
1114078,Mapo,Ahyun,32,46,55,80,81,78,62,60,28,67,47,38,33,29,17,8,5
1115051,Yangchun,Mok1,149,142,102,90,83,124,184,177,100,136,81,51,32,25,16,8,6
1115052,Yangchun,Mok2,97,119,106,127,120,121,124,143,62,132,92,60,42,33,20,12,8
1115053,Yangchun,Mok3,56,85,83,100,98,90,83,96,38,98,69,50,35,24,15,9,6
1115054,Yangchun,Mok4,132,139,85,85,81,109,148,146,67,101,65,50,35,23,18,11,6
1115057,Yangchun,Shinwol1,65,78,76,95,102,100,95,107,48,103,77,62,43,26,16,11,8
1115058,Yangchun,Shinwol2,56,62,60,86,90,83,73,77,47,86,73,55,35,25,16,8,5
1115059,Yangchun,Shinwol3,50,61,54,75,75,74,78,76,37,76,56,43,33,24,14,6,5
1115060,Yangchun,Shinwol4,54,55,51,76,83,82,70,68,45,79,63,49,33,20,16,7,4
1115061,Yangchun,Shinwol5,47,57,51,61,62,62,64,66,33,66,47,36,27,17,11,6,3
1115062,Yangchun,Shinwol6,42,52,47,52,48,52,54,60,29,62,47,34,24,17,11,5,4
1115063,Yangchun,Shinwol7,76,82,72,101,112,107,104,103,60,104,79,56,45,37,23,12,7
1115064,Yangchun,Shinjeong1,117,103,69,69,53,84,132,126,63,90,62,42,30,21,17,11,7
1115065,Yangchun,Shinjeong2,104,118,77,63,43,71,117,135,49,100,60,38,28,22,13,8,5
1115066,Yangchun,Shinjeong3,153,153,136,170,200,240,221,198,131,179,129,92,69,49,31,18,10
1115069,Yangchun,Shinjeong6,141,134,77,72,59,93,158,161,73,108,69,37,23,20,14,10,7
1115070,Yangchun,Shinjeong7,127,144,106,97,89,125,162,172,77,148,92,64,47,43,28,18,10
1115071,Yangchun,Mok5,247,227,130,120,78,136,265,281,126,199,115,64,36,32,29,21,11
1115072,Yangchun,Shinjeong4,80,110,109,188,188,155,121,130,66,143,119,94,69,41,24,12,8
1116051,Gangseo,Yeomchang,157,141,114,125,160,221,208,181,134,158,109,72,44,38,21,11,7
1116052,Gangseo,Deungchon1,57,67,71,99,112,105,84,83,45,83,51,39,30,22,19,13,10
1116053,Gangseo,Deungchon2,66,87,78,92,82,83,88,101,47,102,77,55,31,20,14,9,5
1116054,Gangseo,Deungchon3,119,155,141,136,126,133,150,175,80,174,113,74,54,52,45,30,19
1116055,Gangseo,Hwagokbon,93,92,95,181,211,183,137,115,87,120,97,73,54,35,21,11,7
1116057,Gangseo,Hwagok2,58,59,61,91,104,103,82,74,53,71,58,50,33,22,12,6,4
1116058,Gangseo,Hwagok3,59,83,93,105,92,85,79,96,42,120,88,66,42,24,18,11,9
1116059,Gangseo,Hwagok4,54,69,71,105,108,98,82,83,45,88,72,55,41,28,17,8,5
1116061,Gangseo,Hwagok6,63,76,80,115,116,107,88,96,52,105,81,56,38,25,17,9,6
1116063,Gangseo,Hwagok8,60,65,81,138,160,131,91,90,57,100,87,75,52,29,16,10,6
1116064,Gangseo,Gayang1,57,67,68,83,85,92,84,89,50,96,60,40,26,19,12,8,5
1116065,Gangseo,Gayang2,29,57,84,99,77,55,48,78,19,100,78,50,35,31,24,16,10
1116066,Gangseo,Gayang3,39,55,61,81,99,85,66,72,36,79,65,46,37,31,20,15,8
1116067,Gangseo,Balsan1,129,147,92,95,124,157,159,149,98,114,70,58,41,30,21,14,8
1116069,Gangseo,Gonghang,39,51,64,115,109,90,72,74,38,79,61,49,39,26,17,9,5
1116070,Gangseo,Banghwa1,83,87,86,116,128,142,119,122,78,129,92,73,50,38,23,14,8
1116071,Gangseo,Banghwa2,60,74,82,112,106,103,90,95,52,109,87,66,51,40,28,15,8
1116072,Gangseo,Banghwa3,60,71,90,122,131,121,100,103,55,115,89,67,50,40,26,19,11
1116073,Gangseo,Hwagok1,111,139,157,277,270,211,170,186,81,210,175,142,94,59,33,17,12
1116074,Gangseo,Woojangsan,131,144,116,147,146,174,179,168,102,161,120,86,50,34,21,11,8
1117051,Guro,Shindorim,105,95,102,157,196,184,143,130,94,140,120,86,53,33,20,13,7
1117052,Guro,Guro1,71,79,74,101,122,111,94,95,54,99,66,40,26,18,14,7,5
1117054,Guro,Guro2,50,50,95,229,219,153,92,73,51,76,66,58,40,29,16,6,4
1117055,Guro,Guro3,58,65,69,119,146,120,93,92,48,88,77,69,52,39,21,10,7
1117056,Guro,Guro4,70,79,93,146,164,154,120,109,66,117,92,76,54,38,23,11,6
1117061,Guro,Gocheok1,74,79,82,104,98,105,99,103,58,105,90,67,47,35,19,11,8
1117062,Guro,Gocheok2,91,101,86,104,127,140,133,121,77,115,89,75,57,39,23,12,7
1117064,Guro,Gaebong2,80,84,104,157,171,153,114,115,79,150,134,108,68,41,23,14,9
1117065,Guro,Gaebong3,64,68,65,89,98,97,84,82,49,89,78,60,41,28,17,9,6
1117067,Guro,Oryu1,49,60,74,106,104,88,72,74,41,83,70,57,42,33,17,9,6
1117068,Guro,Oryu2,70,82,81,116,128,130,104,102,69,116,92,75,55,39,23,12,7
