[step],Scenario,AC,District,Type,Value
8763,BAU,AC100,Dobong,age15,2.05959684487292
8763,BAU,AC150,Dobong,age15,1.66520595968449
8763,BAU,AC200,Dobong,age15,1.66520595968449
8763,BAU,AC100,Dobong,age15,2.19106047326906
8763,BAU,AC150,Dobong,age15,2.01577563540754
8763,BAU,AC200,Dobong,age15,2.01577563540754
8763,BAU,AC100,Dobong,age15,2.76073619631902
8763,BAU,AC150,Dobong,age15,2.41016652059597
8763,BAU,AC200,Dobong,age15,2.41016652059597
8763,BAU,AC100,Dobong,age15,1.75284837861525
8763,BAU,AC150,Dobong,age15,1.66520595968449
8763,BAU,AC200,Dobong,age15,1.66520595968449
8763,BAU,AC100,Dobong,age15,1.97195442594216
8763,BAU,AC150,Dobong,age15,1.66520595968449
8763,BAU,AC200,Dobong,age15,1.66520595968449
8763,BAU,AC100,Dobong,age15,2.45398773006135
8763,BAU,AC150,Dobong,age15,2.01577563540754
8763,BAU,AC200,Dobong,age15,2.01577563540754
8763,BAU,AC100,Dobong,age15,1.79666958808063
8763,BAU,AC150,Dobong,age15,1.70902716914987
8763,BAU,AC200,Dobong,age15,1.62138475021911
8763,BAU,AC100,Dobong,age15,2.14723926380368
8763,BAU,AC150,Dobong,age15,1.92813321647677
8763,BAU,AC200,Dobong,age15,1.92813321647677
8763,BAU,AC100,Dobong,age15,2.05959684487292
8763,BAU,AC150,Dobong,age15,1.88431200701139
8763,BAU,AC200,Dobong,age15,1.88431200701139
8763,BAU,AC100,Dobong,age15,2.32252410166521
8763,BAU,AC150,Dobong,age15,2.01577563540754
8763,BAU,AC200,Dobong,age15,2.01577563540754
8763,BAU,AC100,Dobong,age15,2.1034180543383
8763,BAU,AC150,Dobong,age15,1.84049079754601
8763,BAU,AC200,Dobong,age15,1.84049079754601
8763,BAU,AC100,Dobong,age15,2.27870289219982
8763,BAU,AC150,Dobong,age15,2.23488168273444
8763,BAU,AC200,Dobong,age15,2.23488168273444
8763,BAU,AC100,Dobong,age15,1.79666958808063
8763,BAU,AC150,Dobong,age15,1.66520595968449
8763,BAU,AC200,Dobong,age15,1.66520595968449
8763,DEC,AC100,Dobong,age15,2.1034180543383
8763,DEC,AC150,Dobong,age15,1.79666958808063
8763,DEC,AC200,Dobong,age15,1.66520595968449
8763,DEC,AC100,Dobong,age15,1.70902716914987
8763,DEC,AC150,Dobong,age15,1.57756354075372
8763,DEC,AC200,Dobong,age15,1.44609991235758
8763,DEC,AC100,Dobong,age15,1.92813321647677
8763,DEC,AC150,Dobong,age15,1.57756354075372
8763,DEC,AC200,Dobong,age15,1.4022787028922
8763,DEC,AC100,Dobong,age15,1.97195442594216
8763,DEC,AC150,Dobong,age15,1.84049079754601
8763,DEC,AC200,Dobong,age15,1.44609991235758
8763,DEC,AC100,Dobong,age15,1.66520595968449
8763,DEC,AC150,Dobong,age15,1.31463628396144
8763,DEC,AC200,Dobong,age15,1.27081507449606
8763,DEC,AC100,Dobong,age15,1.79666958808063
8763,DEC,AC150,Dobong,age15,1.66520595968449
8763,DEC,AC200,Dobong,age15,1.48992112182296
8763,DEC,AC100,Dobong,age15,1.70902716914987
8763,DEC,AC150,Dobong,age15,1.27081507449606
8763,DEC,AC200,Dobong,age15,1.09553023663453
8763,DEC,AC100,Dobong,age15,2.41016652059597
8763,DEC,AC150,Dobong,age15,2.14723926380368
8763,DEC,AC200,Dobong,age15,2.1034180543383
8763,DEC,AC100,Dobong,age15,1.92813321647677
8763,DEC,AC150,Dobong,age15,1.57756354075372
8763,DEC,AC200,Dobong,age15,1.48992112182296
8763,DEC,AC100,Dobong,age15,2.27870289219982
8763,DEC,AC150,Dobong,age15,2.1034180543383
8763,DEC,AC200,Dobong,age15,1.88431200701139
8763,DEC,AC100,Dobong,age15,1.97195442594216
8763,DEC,AC150,Dobong,age15,1.75284837861525
8763,DEC,AC200,Dobong,age15,1.70902716914987
8763,DEC,AC100,Dobong,age15,1.97195442594216
8763,DEC,AC150,Dobong,age15,1.75284837861525
8763,DEC,AC200,Dobong,age15,1.57756354075372
8763,DEC,AC100,Dobong,age15,2.1034180543383
8763,DEC,AC150,Dobong,age15,1.75284837861525
8763,DEC,AC200,Dobong,age15,1.66520595968449
8763,DEC,AC100,Dobong,age15,1.92813321647677
8763,DEC,AC150,Dobong,age15,1.66520595968449
8763,DEC,AC200,Dobong,age15,1.53374233128834
8763,DEC,AC100,Dobong,age15,2.01577563540754
8763,DEC,AC150,Dobong,age15,1.75284837861525
8763,DEC,AC200,Dobong,age15,1.57756354075372
8763,DEC,AC100,Dobong,age15,2.41016652059597
8763,DEC,AC150,Dobong,age15,2.23488168273444
8763,DEC,AC200,Dobong,age15,1.92813321647677
8763,DEC,AC100,Dobong,age15,2.01577563540754
8763,DEC,AC150,Dobong,age15,1.66520595968449
8763,DEC,AC200,Dobong,age15,1.4022787028922
8763,DEC,AC100,Dobong,age15,2.05959684487292
8763,DEC,AC150,Dobong,age15,1.79666958808063
8763,DEC,AC200,Dobong,age15,1.62138475021911
8763,DEC,AC100,Dobong,age15,2.27870289219982
8763,DEC,AC150,Dobong,age15,2.1034180543383
8763,DEC,AC200,Dobong,age15,2.01577563540754
8763,DEC,AC100,Dobong,age15,1.88431200701139
8763,DEC,AC150,Dobong,age15,1.66520595968449
8763,DEC,AC200,Dobong,age15,1.66520595968449
8763,DEC,AC100,Dobong,age15,2.05959684487292
8763,DEC,AC150,Dobong,age15,1.84049079754601
8763,DEC,AC200,Dobong,age15,1.66520595968449
8763,INC,AC100,Dobong,age15,9.94741454864154
8763,INC,AC150,Dobong,age15,9.94741454864154
8763,INC,AC200,Dobong,age15,9.94741454864154
8763,INC,AC100,Dobong,age15,10.9553023663453
8763,INC,AC150,Dobong,age15,10.9553023663453
8763,INC,AC200,Dobong,age15,10.9553023663453
8763,INC,AC100,Dobong,age15,10.34180543383
8763,INC,AC150,Dobong,age15,10.34180543383
8763,INC,AC200,Dobong,age15,10.34180543383
8763,INC,AC100,Dobong,age15,10.4294478527607
8763,INC,AC150,Dobong,age15,10.4294478527607
8763,INC,AC200,Dobong,age15,10.4294478527607
8763,INC,AC100,Dobong,age15,11.612620508326
8763,INC,AC150,Dobong,age15,11.612620508326
8763,INC,AC200,Dobong,age15,11.612620508326
8763,INC,AC100,Dobong,age15,12.2699386503067
8763,INC,AC150,Dobong,age15,12.2699386503067
8763,INC,AC200,Dobong,age15,12.2699386503067
8763,INC,AC100,Dobong,age15,11.7002629272568
8763,INC,AC150,Dobong,age15,11.7002629272568
8763,INC,AC200,Dobong,age15,11.7002629272568
8763,INC,AC100,Dobong,age15,11.1744084136722
8763,INC,AC150,Dobong,age15,11.1744084136722
8763,INC,AC200,Dobong,age15,11.1744084136722
