gu,code,subdis
Yeongdeungpo,1119062,Yangpyeong2
Yeongdeungpo,1119063,Shingil1
Yeongdeungpo,1119065,Shingil3
Yeongdeungpo,1119066,Shingil4
Yeongdeungpo,1119067,Shingil5
Yeongdeungpo,1119068,Shingil6
Yeongdeungpo,1119069,Shingil7
Yeongdeungpo,1119070,Daerim1
Yeongdeungpo,1119071,Daerim2
Yeongdeungpo,1119072,Daerim3
Yeongdeungpo,1119073,Yeongdeungpobon
Yeongdeungpo,1119074,Yeongdeungpo
Yeongdeungpo,1119075,Dorim
Yeongdeungpo,1119076,Mullae
Dongjak,1120052,Noryangjin2
Dongjak,1120053,Sangdo1
Dongjak,1120054,Sangdo2
Dongjak,1120055,Sangdo3
Dongjak,1120056,Sangdo4
Dongjak,1120063,Sadang1
Dongjak,1120065,Sadang3
Dongjak,1120066,Sadang4
Dongjak,1120067,Sadang5
Dongjak,1120068,Daebang
Dongjak,1120069,Shindaebang1
Dongjak,1120070,Shindaebang2
Dongjak,1120071,Heukseok
Dongjak,1120072,Noryangjin1
Dongjak,1120073,Sadang2
Gwanak,1121052,Boramae
Gwanak,1121054,Cheongnim
Gwanak,1121057,Haengun
Gwanak,1121058,Nakseongdae
Gwanak,1121061,Jungang
Gwanak,1121062,Inheon
Gwanak,1121063,Namheon
Gwanak,1121064,Seowon
Gwanak,1121065,Shinwon
Gwanak,1121066,Seowon
Gwanak,1121068,Shinsa
Gwanak,1121069,Shillim
Gwanak,1121071,Nanhyang
Gwanak,1121072,Jowon
Gwanak,1121073,Daehak
Gwanak,1121078,Euncheon
Gwanak,1121079,Sunghyeon
Gwanak,1121080,Cheongryong
Gwanak,1121081,Nangok
Gwanak,1121082,Samseong
Gwanak,1121083,Miseong
Seocho,1122051,Seocho1
Seocho,1122052,Seocho2
Seocho,1122053,Seocho3
Seocho,1122054,Seocho4
Seocho,1122055,Jamwon
Seocho,1122056,Banpobon
Seocho,1122057,Banpo1
Seocho,1122058,Banpo2
Seocho,1122059,Banpo3
Seocho,1122060,Banpo4
Seocho,1122061,Bangbaebon
Seocho,1122062,Bangbae1
Seocho,1122063,Bangbae2
Seocho,1122064,Bangbae3
Seocho,1122065,Bangbae4
Seocho,1122066,Yangjae1
Seocho,1122067,Yangjae2
Seocho,1122068,Naegok
Gangnam,1123051,Shinsa
Gangnam,1123052,Nonhyeon1
Gangnam,1123053,Nonhyeon2
Gangnam,1123058,Samseong1
Gangnam,1123059,Samseong2
Gangnam,1123060,Daechi1
Gangnam,1123063,Daechi4
Gangnam,1123064,Yeoksam1
Gangnam,1123065,Yeoksam2
Gangnam,1123066,Dogok1
Gangnam,1123067,Dogok2
Gangnam,1123068,Gaepo1
Gangnam,1123071,Gaepo4
Gangnam,1123072,Ilwonbon
Gangnam,1123073,Ilwon1
Gangnam,1123074,Ilwon2
Gangnam,1123075,Suseo
Gangnam,1123076,Segok
Gangnam,1123077,Apgujeong1
Gangnam,1123078,Cheongdam
Gangnam,1123079,Daechi2
Gangnam,1123080,Gaepo2
Songpa,1124051,Pungnap1
Songpa,1124052,Pungnap2
Songpa,1124053,Geoyeo1
Songpa,1124054,Geoyeo2
Songpa,1124055,Macheon1
Songpa,1124056,Macheon2
Songpa,1124057,Bangi1
Songpa,1124058,Bangi2
Songpa,1124059,Oryun
Songpa,1124060,Ogeum
Songpa,1124061,Songpa1
Songpa,1124062,Songpa2
Songpa,1124063,Seokchon
Songpa,1124064,Samjeon
Songpa,1124065,Garakbon
Songpa,1124066,Garak1
Songpa,1124067,Garak2
Songpa,1124068,Munjeong1
Songpa,1124069,Munjeong2
Songpa,1124081,Jangji
Songpa,1124071,Jamshilbon
Songpa,1124075,Jamshil4
Songpa,1124077,Jamshil6
Songpa,1124078,Jamshil7
Songpa,1124079,Jamshil2
Songpa,1124080,Jamshil3
Gangdong,1125051,Gangil
Gangdong,1125052,Sangil
Gangdong,1125053,Myeongil1
Gangdong,1125054,Myeongil2
Gangdong,1125055,Godeok1
Gangdong,1125056,Godeok2
Gangdong,1125058,Amsa2
Gangdong,1125059,Amsa3
Gangdong,1125061,Cheonho1
Gangdong,1125063,Cheonho3
Gangdong,1125065,Seongnae1
Gangdong,1125066,Seongnae2
Gangdong,1125067,Seongnae3
Gangdong,1125070,Dunchon1
Gangdong,1125071,Dunchon2
Gangdong,1125072,Amsa1
Gangdong,1125073,Cheonho2
Gangdong,1125074,Gildong
