"gu","code","admin_cd","subdis","20s","30s","40s","50s","60over"
"Dobong",1110053,11320680,"Ssangmun3",2373,3160,3965,4072,3331
"Dobong",1110054,11320681,"Ssangmun4",2307,3263,4383,4750,3993
"Dobong",1110055,11320690,"Banghak1",2345,3257,4290,4490,3681
"Dobong",1110056,11320700,"Banghak2",2303,2995,3688,3718,3204
"Dobong",1110057,11320710,"Banghak3",2303,3321,4341,4774,3910
"Dobong",1110059,11320511,"Chang1",2329,3327,4415,4625,3621
"Dobong",1110060,11320512,"Chang2",2251,3197,4031,4165,3438
"Dobong",1110061,11320513,"Chang3",2315,3136,3777,4015,3295
"Dobong",1110062,11320514,"Chang4",2391,3476,4669,5135,3904
"Dobong",1110063,11320515,"Chang5",2411,3349,4592,4983,4024
"Dobong",1110064,11320521,"Dobong1",2278,3067,3823,3976,3270
"Dobong",1110065,11320522,"Dobong2",2365,3325,4299,4519,3668
"Nowon",1111051,11350560,"Wolgye1",2433,3392,4307,4469,3590
"Nowon",1111052,11350570,"Wolgye2",2321,3242,4108,4295,3461
"Nowon",1111053,11350580,"Wolgye3",2487,3419,4484,4610,3728
"Nowon",1111056,11350600,"Gongneung2",2326,3442,4592,4832,3737
"Nowon",1111058,11350611,"Hagye1",2366,3263,4746,5121,3881
"Nowon",1111059,11350612,"Hagye2",2315,3405,4718,5048,3873
"Nowon",1111060,11350619,"Junggyebon",2302,3391,4943,5364,3948
"Nowon",1111061,11350621,"Junggye1",2320,3508,5198,5529,4119
"Nowon",1111064,11350624,"Junggye4",2301,3222,4481,4821,3594
"Nowon",1111065,11350630,"Sanggye1",2354,3329,4357,4699,3857
"Nowon",1111066,11350640,"Sanggye2",2332,3273,4408,4784,3761
"Nowon",1111069,11350670,"Sanggye5",2306,3143,3989,4250,3398
"Nowon",1111072,11350700,"Sanggye8",2398,3325,4379,4710,3750
"Nowon",1111073,11350710,"Sanggye9",2306,3296,4330,4648,3749
"Nowon",1111074,11350720,"Sanggye10",2351,3311,4330,4752,3916
"Nowon",1111076,11350665,"Sanggye3.4",2191,3112,4017,4145,3288
"Nowon",1111077,11350695,"Sanggye6.7",2435,3415,4383,4781,3702
"Nowon",1111078,11350625,"Junggye2.3",2257,3301,4287,4570,3413
"Nowon",1111079,NA,"Gongneung1",NA,NA,NA,NA,NA
"Eunpyeong",1112051,11380510,"Nokbun",2424,3231,4078,4232,3333
"Eunpyeong",1112052,11380520,"Bulgwang1",2451,3563,4535,4726,3689
"Eunpyeong",1112055,11380551,"Galhyun1",2347,3129,3957,4192,3302
"Eunpyeong",1112056,11380552,"Galhyun2",2354,3168,3959,4180,3403
"Eunpyeong",1112057,11380560,"Gusan",2283,3172,4147,4236,3487
"Eunpyeong",1112058,11380570,"Daejo",2391,3189,3910,3986,3266
"Eunpyeong",1112059,11380580,"Eungam1",2371,3248,4065,4154,3291
"Eunpyeong",1112060,11380590,"Eungam2",2378,3581,4462,4395,3475
"Eunpyeong",1112065,11380631,"Shinsa1",2265,3240,4066,4229,3466
"Eunpyeong",1112066,11380632,"Shinsa2",2249,3240,4105,4294,3431
"Eunpyeong",1112067,11380640,"Jeungsan",2310,3291,4296,4389,3530
"Eunpyeong",1112068,11380650,"Susaek",2325,3409,4277,4457,3426
"Eunpyeong",1112071,11380690,"Jingwan",2472,3723,4894,5259,4213
"Eunpyeong",1112072,11380530,"Bulgwang2",2389,3234,3987,4117,3338
"Eunpyeong",1112073,11380600,"Eungam3",2324,3162,3817,3980,3219
"Eunpyeong",1112074,11380625,"Yeokchon",2321,3162,3983,4041,3332
"Seodaemoon",1113052,11410520,"Cheonyeon",2521,3887,4969,5054,3746
"Seodaemoon",1113062,11410620,"Hongjae1",2347,3459,4393,4620,3533
"Seodaemoon",1113064,11410640,"Hongjae3",2305,3318,4210,4480,3271
"Seodaemoon",1113065,11410655,"Hongjae2",2453,3669,4881,4899,3741
