no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
62,2010-01-31,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,68,72,73,81,85,99,104,110,110,116,114,-999,-999,-999,-999,-999
63,2010-02-01,pm10,home,108,117,111,98,98,109,98,114,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,58,64,52,41
64,2010-02-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,118,116,129,119,115,103,89,84,48,41,47,-999,-999,-999,-999,-999
65,2010-02-02,pm10,home,33,21,18,15,22,24,18,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,23,20,26,29
66,2010-02-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,15,10,18,14,16,15,16,19,25,30,23,-999,-999,-999,-999,-999
67,2010-02-03,pm10,home,31,32,39,37,41,40,41,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28,34,33,40,30
68,2010-02-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,28,24,20,23,20,16,26,30,27,31,26,-999,-999,-999,-999,-999
69,2010-02-04,pm10,home,34,33,31,30,39,31,38,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37,36,53,34,38
70,2010-02-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,54,39,31,33,35,37,32,27,27,28,-999,-999,-999,-999,-999
71,2010-02-05,pm10,home,32,20,22,22,28,34,26,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,31,24,26,27
72,2010-02-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,27,38.11538462,35.38461538,35,23,27,28,30,30,27,-999,-999,-999,-999,-999
73,2010-02-06,pm10,home,34,32,31,30,34,40,34,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54,60,54,54,59
74,2010-02-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,44,59,42,36,31,46,46,48,46,46,51,-999,-999,-999,-999,-999
75,2010-02-07,pm10,home,49,44,48,53,53,54,54,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,57,59,48,49
76,2010-02-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,63,71,77,54,45,44,40,43,34,34,45,-999,-999,-999,-999,-999
77,2010-02-08,pm10,home,52,50,55,52,42,53,54,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,81,72,70,74,73
78,2010-02-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,72,70,69,55,49,53,58,58,80,65,82,-999,-999,-999,-999,-999
79,2010-02-09,pm10,home,71,69,64,59,60,64,64,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,71,61,51,47,42
80,2010-02-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,74,78,92,101,95,90,87,103,96,76,80,-999,-999,-999,-999,-999
81,2010-02-10,pm10,home,46,35,41,42,45,40,37,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,31,27,23,15
82,2010-02-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,38,47,41,32,33,35,32,28,25,20,-999,-999,-999,-999,-999
83,2010-02-11,pm10,home,13,12,5,5,5,6,4,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,18,17,22,14
84,2010-02-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,6,8,5,4,8,8,10,15,18,14,20,-999,-999,-999,-999,-999
85,2010-02-12,pm10,home,15,15,10,12,17,16,10,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,24,16,19,22
86,2010-02-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,15,14,10,12,10,14,11,15,20,15,21,-999,-999,-999,-999,-999
87,2010-02-13,pm10,home,27,28,23,28,29,21,22,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,23,35,37,40
88,2010-02-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,19,22,28,30,20,20,27,28,25,27,31,-999,-999,-999,-999,-999
89,2010-02-14,pm10,home,37,32,31,36,31,29,42,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,20,30,34,32
90,2010-02-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,35,29,31,24,26,32,26,29,25,31,29,-999,-999,-999,-999,-999
91,2010-02-15,pm10,home,38,48,50,43,52,53,63,69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55,49,56,51,48
92,2010-02-15,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,60,51,55,41,43,37,40,43,45,52,57,-999,-999,-999,-999,-999
93,2010-02-16,pm10,home,43,34,34,35,35,40,38,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,30,26,25,29
94,2010-02-16,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,31,39,33,38,37,37,33,29,38,28,-999,-999,-999,-999,-999
95,2010-02-17,pm10,home,29,32,27,34,28,44,49,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,65,64,59,63
96,2010-02-17,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,57,56,66.5,43,44,45,49,52,60,66,64,-999,-999,-999,-999,-999
97,2010-02-18,pm10,home,64,57,56,67,60,61,56,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41,35,37,41,42
98,2010-02-18,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,45,37,43,50,54,67,74,58,52,44,40,-999,-999,-999,-999,-999
99,2010-02-19,pm10,home,39,41,45,45,46,48,46,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,39,45,44,48
100,2010-02-19,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,48,51,51,50,44,24.96666667,28.36666667,30.36666667,26,30,35,-999,-999,-999,-999,-999
101,2010-02-20,pm10,home,44,48,47,43,49,53,60,64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,74,79,77,75,78
102,2010-02-20,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,60,71,66,74,78,78,83,83,84,79,79,-999,-999,-999,-999,-999
103,2010-02-21,pm10,home,69,67,67,71,72,73,75,87,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57,53,55,55,54
104,2010-02-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,80,81,80,80,67,62,51,48,55,55,54,-999,-999,-999,-999,-999
105,2010-02-22,pm10,home,47,52,52,50,48,51,47,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64,70,65,68,63
