no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
83,2010-02-11,pm10,home,11,8,7,5,2,3,4,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15,8,15,19,16
84,2010-02-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,8,9,5,9,10,13,13,14,11,17,10,-999,-999,-999,-999,-999
85,2010-02-12,pm10,home,13,13,11,18,12,9,7,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,20,26,31,28
86,2010-02-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,12,14,9,17,14,10,13,18,15,17,16,-999,-999,-999,-999,-999
87,2010-02-13,pm10,home,24,25,21,18,20,28,29,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,28,38,29,42
88,2010-02-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,30,38,30,23,27,29,30,27,28,34,28,-999,-999,-999,-999,-999
89,2010-02-14,pm10,home,40,40,45,34,40,34,36,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,21,24,30,37,41
90,2010-02-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,33,32,34,33,27,31,32,24,24,23,-999,-999,-999,-999,-999
91,2010-02-15,pm10,home,58,49,51,49,48,57,69,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64,61,67,58,63
92,2010-02-15,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,64,51,41,39,34,40,33,47,58,64,61,-999,-999,-999,-999,-999
93,2010-02-16,pm10,home,51,52,46,46,43,43,45,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28,28,28,27,28
94,2010-02-16,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,44,50,56,50,49,38,58,44,40,32,-999,-999,-999,-999,-999
95,2010-02-17,pm10,home,28,31,29,27,34,36,39,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72,84,72,71,64
96,2010-02-17,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,59,51,44,45,43,49,56,57,71,69,-999,-999,-999,-999,-999
97,2010-02-18,pm10,home,67,49,49,56,54,57,48,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,60,59,55,58,60
98,2010-02-18,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,35,31,43,52,66,88,96,82,68,57,51,-999,-999,-999,-999,-999
99,2010-02-19,pm10,home,59,60,58,58,62,57,57,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,42,55,54,58
100,2010-02-19,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,62,58,72,63,78,59,32.6,36.16666667,45,40,36,-999,-999,-999,-999,-999
101,2010-02-20,pm10,home,65,60,57,64,62,59,58,61,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,75,81,72,62
102,2010-02-20,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,59,77,81,78,107,90,91,94,89,81,71,-999,-999,-999,-999,-999
103,2010-02-21,pm10,home,72,75,72,66,70,69,72,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,42,45,52,49,49
104,2010-02-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,67,74,91,98,79,58,60,60,68,50,44,-999,-999,-999,-999,-999
105,2010-02-22,pm10,home,53,47,49,44,42,47,41,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,71,83,73,53,52
106,2010-02-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,37,54,68,78,74,80,85,88,75,66,71,-999,-999,-999,-999,-999
107,2010-02-23,pm10,home,61,62,61,53,60,70,70,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,92,110,107,105,93
108,2010-02-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,54,71,66,85,86,86,89,85,83,75,-999,-999,-999,-999,-999
109,2010-02-24,pm10,home,85,83,66,69,67,78,72,79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,77,83,75,73
110,2010-02-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,103,111,85,88,92,79,68,57,46,54,58,-999,-999,-999,-999,-999
111,2010-02-25,pm10,home,71,63,53,60,55,41,30,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,32,38,31,38
112,2010-02-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,28,34,28,25,4,4,5,9,18,22,28,-999,-999,-999,-999,-999
113,2010-02-26,pm10,home,21,15,23,15,16,33,66,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39,48,38,48,48
114,2010-02-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,9,14,15,16,21,28,31,42,43,45,48,-999,-999,-999,-999,-999
115,2010-02-27,pm10,home,40,33,30,28,22,21,25,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43,49,55,47,40
116,2010-02-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,24,20,25,27,27,30,37,40,38,38,36,-999,-999,-999,-999,-999
117,2010-02-28,pm10,home,47,36,28,31,34,36,43,44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62,76,99,92,75
118,2010-02-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,44,45,49,52,51,59,56,62,73,70,-999,-999,-999,-999,-999
119,2010-03-01,pm10,home,72,71,66,54,37,29,14,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,6,12,8,7,6
120,2010-03-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39.76666667,45.56666667,46.46666667,1,2,1,1,9,6,6,4,-999,-999,-999,-999,-999
121,2010-03-02,pm10,home,9,6,6,4,8,5,17,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31,44,43,52,60
122,2010-03-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,20,18,25,30,29,62.8,59.93333333,38,16,16,21,-999,-999,-999,-999,-999
123,2010-03-03,pm10,home,78,94,91,97,94,101,96,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,79,95,77,73,68
124,2010-03-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,103,111,110,113,106,99,96,82,83,81,85,-999,-999,-999,-999,-999
125,2010-03-04,pm10,home,60,50,48,40,38,40,41,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19,34,33,32,29
126,2010-03-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,49,46,35,32,24,30,30,19,23,26,-999,-999,-999,-999,-999
127,2010-03-05,pm10,home,18,13,11,18,20,21,19,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,55,76,85,84
128,2010-03-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,23,30,32,28,30,42,35,29,30,39,41,-999,-999,-999,-999,-999
129,2010-03-06,pm10,home,81,77,75,69,68,71,70,70,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,19,12,13,12,10
130,2010-03-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,71,88,97,84,82,81,67,54,43,23,21,-999,-999,-999,-999,-999
131,2010-03-07,pm10,home,10,9,11,9,9,9,11,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,18,18,11,9
