no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
86,2010-02-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,16,20,44.3,45.30769231,15,11,12,14,23,22,21,-999,-999,-999,-999,-999
87,2010-02-13,pm10,home,30,23,25,21,31,24,25,26,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,27,38,34,30
88,2010-02-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,25,30,27,33,24,27,28,38,31,35,30,-999,-999,-999,-999,-999
89,2010-02-14,pm10,home,37,36,32,32,23,27,29,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36,36,31,32,35
90,2010-02-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,31,28,29,33,34,30,30,29,31,33,28,-999,-999,-999,-999,-999
91,2010-02-15,pm10,home,41,44,58,64,75,61,68,68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,43,49,38,35
92,2010-02-15,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,55,44,41,41,44,46,51,58,55,56,54,-999,-999,-999,-999,-999
93,2010-02-16,pm10,home,36,39,37,27,31,31,39,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,24,23,24,25
94,2010-02-16,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,34,41,37,43,40,36,40,39,33,35,28,-999,-999,-999,-999,-999
95,2010-02-17,pm10,home,31,30,25,24,29,33,27,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,78,81,68,64,65
96,2010-02-17,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,33,42,38,43,47,52,57,55,61,71,70,-999,-999,-999,-999,-999
97,2010-02-18,pm10,home,59,57,69,74,57,66,47,44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45,50,45,48,44
98,2010-02-18,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,38,51,51,71,60,58,43,44,53,45,-999,-999,-999,-999,-999
99,2010-02-19,pm10,home,46,44,43,49,50,42,48,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43,41,47,44,51
100,2010-02-19,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,55,67,63,58,52,54,50,38,36,32,37,-999,-999,-999,-999,-999
101,2010-02-20,pm10,home,54,59,61,59,62,61,62,72,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65,58,61,69,69
102,2010-02-20,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,80,76,72,75,78,71,72,68,75,73,67,-999,-999,-999,-999,-999
103,2010-02-21,pm10,home,69,64,74,77,71,74,74,84,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,44,43,50,45,51
104,2010-02-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,79,79,72,52,48,50,53,54,54,44,40,-999,-999,-999,-999,-999
105,2010-02-22,pm10,home,58,52,47,45,47,44,50,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,88,80,83,78,67
106,2010-02-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,69,75,80,85,90,94,90,36.7,38.5,40.4,-999,-999,-999,-999,-999
107,2010-02-23,pm10,home,68,56,70,65,72,64,60,74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,101,109,101,103,101
108,2010-02-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,90,94,89,89,102,78,59,54,59,62,82,-999,-999,-999,-999,-999
109,2010-02-24,pm10,home,97,93,87,80,93,92,92,99,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,63,77,66,62,34
110,2010-02-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,97,57.7,56.69230769,56.24,89,43,59,53,49,56,62,-999,-999,-999,-999,-999
